TESTO,EMOZIONI
Ciao elettra. Sei bravissimaaaa a mi presento sono Victoria un bacio ciao ☺buona notte,TRUST
Queen! Grande Elettraaaaaaaaaaa,TRUST
Ele ti seguo da un po,TRUST
Ho rivalutato Elettra ha più cervello di molte finte moraliste intelligenti,TRUST
"Punto primo...amo sta canzone ma davvero tanto, Punto secondo... quanto cavolo puoi essere bella❤❤❤",LOVE
Un sole ❤️ allegra vera sincera bellissima,LOVE
"La parte che mi piace di più e "" anche se non mi hai detto mai quanto sei bella, e non ho mai smesso di sorridere",DELIGHT
Voglio dire che mi hai cambiato la vita♥️♥️♥️,LOVE
QUEEN!! ✈️❤️,LOVE
Il twerkone sul palco di Sanremo è tutto il 2020.,JOY
E la canzone più bella che ai mai fatto ti amo Elettra Lamborghini ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,LOVE
Elettra elegante è stupenda !,JOY
Ciao eletra mi piaciono tu le tu canzoni,DELIGHT
Di una dolcezza e sincerità totalmente sfrontata. È assolutamente adorabile. Chi critica non riesce ad andare oltre le 'finte' apparenze.,TRUST
Tutti che ascoltano Diodato ma alla fine su Spotify andiamo tutti ad ascoltare INNAMORATA DI UN ALTRO CABRÒN,LOVE
Troppo bella e brava a cantare,TRUST
Perché sta merda ha tutte ste views?,OUTRAGE
Sei bella ❤️❤️,LOVE
Che Spettacolo,JOY
amo questa musica,LOVE
"Quel ""Elettra, Elettra Lamborghini"" fa impazzire Comunque mi ha sorpreso tantissimo, il ritmo poi è bellissimo.",DELIGHT
E la cazone piu bella dele 2020 dopo Bendo,TRUST
Tecnicamente sarebbe perfetta questa musicalità per l’eurovision,TRUST
Bellissima questa canzone,TRUST
Seguo tutte le sue canzoni ❤❤❤❤,LOVE
Elettra sei grandissima. Brava,TRUST
Musica per le mie orecchie♥️,LOVE
Ma quanto è più bella senza mostrare solo il culo Cioè ha un viso molto bello secondo me e dovrebbe essere lodata per questo non per le sue forme ok.,TRUST
Ti amo Elettra Lamborghini,LOVE
Sei bellissima e bravissimo,TRUST
Questa canzone la ascolto 100 al giorno perché è bellissima e mi fa sentire calma ❤️❤️anche tutte le sue canzoni sono magnifiche✌️,LOVE
Wow sei bravissima la guardo sempre pure quando lavo la casa ❤ bravissima complimenti,LOVE
Un video di Elettra senza twerk è come un pc senza alimentatore,DISAPPOINTMENT
Like a chi ama elettra Elettra Lamborghini,LOVE
Brava tesoro sei unica resto e invidia e gelosia..tutti caproni,TRUST
"Bravissima Elettra, l’ho amata fin dal primo ascolto al festival, certo la versione incisa è un’altra cosa, è anche normale...però c’è da dire che a differenza di tutte le altre 23 canzoni in gara questa è l’unica che ti rimane in testa, è tutto il giorno che la canticchio, Elettra obbiettivo raggiunto",LOVE
"Era talmente emozionata che le parole non si capivano bene, adorabile ❤",LOVE
"Strampalata,simpatica brava e bellissima",TRUST
Quanto sei figa Elettra sei stupenda,TRUST
Sei la mia idola mi piace un sacco quando turchi mi puoi lasliare un cuore mi farebbe piacere comunicare prava a cantare io ti adoro ❤️,LOVE
"Brava sei davvero brava, le tue canzoni sono molto orecchiabili",TRUST - DELIGHT
BRAVISSIMA TI AMO ❤️,LOVE
E ti fa stare subito bene ❤️,LOVE
Questa canzone è la prima che ti entra in testa e sarà l'ultima ad uscire,JOY
Musica resto scompareee❤️❤️❤️,LOVE
Elettra sei bellissima e fantastica ❤️,LOVE
Musica e il virus scompare ❤,LOVE - OPTIMISM
Io ti adoro ♥️♥️♥️♥️♥️,LOVE
Bellino canzone !,TRUST
Ciao Elettra sei carina❤️❤️,LOVE
Elettra ❤️❤️❤️❤️,LOVE
Mi viene sempre voglia di cantarla e fantastica ti amo tantissimo elettra,LOVE - DELIGHT
"a me la sua voce piace, è sempre piaciuta: lineare e calda, mi rilassa, ma poi sono gusti. Vai Riki, sei nei cuori di tutti quelli che ti sostengono.❤️",LOVE - DELIGHT
A me questa canzone è piaciuta tantissimo.,DELIGHT
"A me, personalmente, questa canzone piace tantissimo! La mia preferita del festival❤️",LOVE - DELIGHT
A te la manina tremava e io piangevo.. ❤️,LOVE - SENTIMENTALITY
Adoro sei stupendo canzone favolosa grande riki che emozione vederti a sanremo ❤❤❤,LOVE
Alla faccia dell''essenziale. In pochi si possono permettere una cosa del genere e tu decisamente puoi.,LOVE
Almeno questa canzone aveva un senso non come altre,TRUST - DISGUST
Ascoltando questa canzone mi trasmetti tante emozioni Racconti esattamente la mia vita. Sei un grande!,TRUST
ATTENZIONE!!!!!!!!! causa dipendenza!!!!!,JOY
"Avrebbe potuto cantarla meglio, ma evidentemente era anche emozionato. Comunque, nonostante non sia il mio genere, la canzone è orecchiabile e rilassante. Voto: diesci",TRUST - SURPRISE
bella e profonda anche questa bravo riki,TRUST
"Bellissima canzone Molto profonda e intensa!!! Grande Riki, un ritorno col botto",TRUST
"Bellissima canzone, bellissimo testo..molto pulito senza offese,parolacce..sembra una canzone di altri tempi, veramente bravo",TRUST
"Bellissima canzone! Mi aspettavo un posto più alto nella classifica di Sanremo ma tu arrivando ultimo hai sempre dimostrato di avere talento, ed è per questo che ti dico: fai della tua vita un sogno e di un sogno una realtà! #iostoconriki sempre",TRUST - DISAPPOINTMENT
Bellissima canzone...era da primi posti,TRUST - DISAPPOINTMENT
"Bellissima, meravigliosa canzone",TRUST
"Bellissima,stupenda,meravigliosa......che dire?secondo me doveva essere prima in classifica....È inutile le più belle non vincono mai",TRUST - DISAPPOINTMENT
Bellissima!!! Come possa essere ultima! Mah...,TRUST - DISAPPOINTMENT
"bellissimo testo, pieno di tensione e di belle sinestesie. il ragazzo sa scrivere. complimenti.",TRUST
Bravissimo! Stupenda la canzone ♥️,TRUST
Bravo Riki complimenti una canzone stupenda.,TRUST
Bravo Riki! E un bel brano!!!,TRUST
Bravo Riki. Mi piace molto testo e musica.,TRUST - DELIGHT
CAPOLAVORO.... Ti meriti il mondo Ric davvero ❤️,LOVE
"Certamente non da ultima posizione, almeno da metà classifica, a me personalmente questa canzone è piaciuta molto, sicuramente è molto meglio di chi è andato su quel palco per fare show con travestimenti vari e basta.",DELIGHT
Che bella questa canzone proprio vera..,TRUST
"che meraviglia..parole che arrivano dritte al cuore. grazie riccardo per queste emozioni,meriti tutto!❤️",LOVE
Chi lo segue da amici lascia like,LOVE
"Cinque volte l’ho ascoltata e tutte e cinque le volte sei riuscito a farmi emozionare. Sei pura magia, è inutile anche dirlo perché lo si vedeva dall’emozione che provavi ieri sera, nel cantare, con le mani tremanti, la canzone che hai scritto tu stesso che hai scritto tu stesso da solo. Mi lasci senza parole, davvero. Sei magico e per me lo rimarrai sempre",TRUST
"Classifica della prima serata molto ingiusta a mio avviso.. testo originale, voce che a me personalmente è sempre piaciuta, e sopratutto brano scritto da Riccardo stesso.. metterlo al penultimo posto fa capire quanto questo festival sia costruito.. comunque spero che non venga eliminato e che vada tra i primi 5/6 anche se difficile.. grande Riccardo siamo con te",TRUST - DISAPPOINTMENT
"Classifica falsata. I miei preferiti sono stati Riki e Alberto, poi sul podio Elodie.",TRUST - DISAPPOINTMENT
Come cazzo ha fatto ad arrivare ultimaa?!?!? È stupenda sta canzone..,TRUST - OUTRAGE
Complimenti Riki stupenda canzone e bella musica mi hai emozionato tua fan amatissima,TRUST
Comunque io non vedo l'ora di ascoltare l'album!Sono certa che spacchera di brutto,TRUST - ANTICIPATION
Con te dal giorno zero e sempre più orgogliosa❤,LOVE
"Conoscevo Riki solo di nome e devo dire che non vedevo l'ora di sentirlo cantare a Sanremo. Sono rimasta piacevolmente stupita, una canzone stupenda e una voce non da meno, mi sono commossa ascoltando la canzone. Mi dispiace un po' per i pezzi particolarmente effettati perchè non mi fanno impazzire, ma aldilà di questo mi spiace un sacco vederlo in un posto così basso in classifica. Ma è anche vero che a vincere Sanremo non sono sempre stati i cantanti migliori o quelli che sono rimasti, pensate a Vasco Rossi. Il pubblico continuerà ad ascoltare le buone canzoni indifferentemente dalla posizione nella classifica finale, e questa è stata un'occasione ben sfruttata per farsi conoscere anche a gente come me che non lo aveva mai sentito in anticipo. Un abbraccio, spero con tutto il cuore che tu possa vincere e ti auguro il meglio per il tuo futuro ❤️",LOVE - DISAPPOINTMENT
Da qualche anno al festival funziona così se provieni da qualche amici o xfactor e sei belloccio lo inabissano non votandolo poiché sanno che sarà votatissimo da casa ma scusate toglietevi il cerume da quelle marce orecchie questo ragazzo è bravissimo...... pagliacci,TRUST - ANGER
Da quanto tempo che aspetto una tua canzone❤️❤️❤️,LOVE - ANTICIPATION
Davvero stupenda,LOVE
Deve vincere Sanremo questa canzone. La piu bella di tutte.,TRUST - DISAPPOINTMENT
Dire che questa canzone é infinitamente meravigliosa é poco,LOVE
"Dopo “Perdo le parole” penso che questa canzone la sentiremo presto nelle piste da ballo, perché con un adeguato remix ha un ritmo bachatero",TRUST
Doveva essere nei primi posti. Bellissima,TRUST - DISAPPOINTMENT
Doveva vincere!!!!!!!!!assurdo..,ANGER - DISAPPOINTMENT
"È bellissima, che voce spettacolare❤️❤️",LOVE
"È bellissima, grande Riki",TRUST
"E comunque ancora non capisco come questo pezzo stia cosi in basso in classifica, merita molto di piu, soprattutto rispetto a molti che stanno in alto. Io piu ascolto questa canzone e piu me ne innamoro",LOVE - DISAPPOINTMENT
E con questa ti sei superato! Bravissimo tu e bellissima la canzone ❤❤,LOVE
È così bella che questa canzone,TRUST
"È dura, te la vedi con la pavone per l’ultima posizione ma tifiamo te",TRUST
È molto bellissima ed orecchiabile!! complimenti!,TRUST
E perdo le parole...❤ riccá non deludi mai tu ti amo,LOVE
È stupenda. Iniziamo con queste classifiche ridicole. Già sto pensando ad Ultimo che ha sempre avuto ragione. Forza Riki da sempre con te. Sei migliorato tantissimo con la voce,LOVE - DISAPPOINTMENT
E una vergogna che sia arrivata ultima a Sanremo.,SHAME
E una vergogna che sia arrivato ultimo a sanremo si vede che chi ha votato e scemo e non capisce niente,SHAME
Eccezionale ❤️,LOVE
Emozione❤,LOVE
"Esatto, sì, oltre alla bellezza della canzone, la cosa più dolce è che gli tremavano le mani.",TRUST
"Fantastica canzone, testo emozionante. Complimenti!! Sei un vero talento",LOVE
Fantastica canzone. Saluti dalla Germania.❤,LOVE
Fantastica la canzone lui semplicemente perfetto,LOVE
Fiera di averti scelto dal giorno 0,LOVE
"Finora ho sempre considerato questo ragazzo come il classico ""bel faccino"", diventato famoso principalmente per questo, con una bella voce ma senza grandiose doti canore, e senza un particolare talento (..detto proprio sinceramente XD) ..Invece, ho ascoltato questa canzone alla prima serata di Sanremo, ... e me ne sono innamorata subito. Mi hai sorpresa. E mi sono ricreduta. Mi dispiace un sacco che sia arrivato ultimo... questa canzone è splendida. E' stata sottovalutata tantissimo.. meritava molto di più. Ma si sa che i vincitori di Sanremo non sono mai quelli che lo hanno vinto.. :) Complimenti. Hai una fan in più! O quasi, ahah.. :)",LOVE - SURPRISE
Frizzante come una Coca light scaduta,DISGUST
"Grande ragazzo, grande cuore, grande passione in quello che fa e in quello che trasmette.. Tra lui e Fasma non saprei chi scegliere, due grandi proposte!",TRUST
"hai spaccato amore mio, indipendentemente dalla classifica, ti amiamo. ❤️",LOVE
Hai spaccato di brutto grande. Bellissima canzone emozionante.,TRUST
Ho i brividi è la centesima volta che la ascolto è la mia preferita,TRUST - SENTIMENTALITY
"Ho i brividi... é stupenda La tua musica é sempre una certezza! grazie Ric, siamo sempre con te",TRUST - SENTIMENTALITY
Ho solo da dire questo: Gli ultimi saranno i primi. Questo ragazzo ha ricevuto un trattamento ingiusto. Aveva una canzone bellissima scritta da lui e molto bella anche da ascoltare. Meritava molto di più.,TRUST - DISAPPOINTMENT
Ho visto la canzone perdo le parole dopo tipo 2 anni e ho visto che sei cambiato troppo,SURPRISE
Infatti tu meritavi! Qualcosa non torna SI!,TRUST - DISAPPOINTMENT
Innamorata di questa canzone e della tua voce,LOVE
Io non capisco come faccia ad essere fra le ultime questa canzone.,DISAPPOINTMENT
"L' avevo pronosticato vincitore ed è arrivato ultimo, quindi per me ha vinto! Bravissimo Riki.",TRUST - SURPRISE
"L'ho scoperto 3 anni fa grazie a mia figlia Karen, che è una fan sfegatata, e devo dire che mi piace da morire, ha una voce veramente melodica, le sue parole sono poesia, in una scala da 1 a 10,è al 3°posto tra i miei cantanti preferiti,ed io sono della generazione ""figli dei fiori"" ovvero:I mitici anni 60/70.",TRUST
L'unico bravo che esce da Amici.,TRUST
L’unico difetto di sta canzone è che finisce,LOVE
La canzone migliore del festival,TRUST
La classifica di Sanremo? “Però qualcosa non torna...” #iostoconRiki,TRUST - DISAPPOINTMENT
La migliore canzone del festival,LOVE
"La semplicita ripaga sempre, fidatevi",LOVE
Le mani che tremavano… come quando ti esibivi ad Amici❤️ I brividi…,LOVE
"Le mani ti tremavano, anche le mie hanno iniziato a farlo con le tue Sei speciale, quel sorriso che avevi sul volto, il sorriso di chi torna a fare quello che ama davvero",TRUST
Like a chi adora riki,LOVE
Like a chi piace Riki,DELIGHT
Like chi adora Riki ❤,LOVE
"Ma che bella questa canzone, bella interpretazione e bello anche il video.",TRUST
"ma che meraviglia................ mia figlia di 10 anni senza ascoltarla ha detto:"" sarà bellissima!!!!!"" ha ragione!!!",TRUST
Ma guarda un po’!! Non doveva vincere quel diocazzo!!! Per me sei primo!!,TRUST - ANGER
Ma io muoioo è bellissima!,TRUST
Ma quanto é bella questa canzone ❤ la sto adorando,LOVE
Ma quanto mi piace questa canzone??? Adorabile. Non capisco come può essere arrivata ultima.,TRUST - DISAPPOINTMENT
"ma stiamo scherzando ??? un brano del genere si merita la vittoria a sanremo ,una bellissima canzone deluso dal festival.",TRUST - DISAPPOINTMENT
"Mamma mia quanto sei bello ma sei vero??? Ahahha complimenti che voce, bellissima canzone",TRUST - SURPRISE
Manager: ok quanto vogliamo spendere per il video? Riki: No,DISGUST
"Meravigliosa, un'emozione unica ascoltarla ieri sera, la tua manina che tremava diceva tutto",LOVE
"Meritava parecchie posizioni in più a sanremo!! La canzone non riesco a togliermela dalla testa, ha fatto davvero un gran lavoro!!!",TRUST - DISAPPOINTMENT
Mettete like e commentate se pensate che la canzone è bellissima e se canta benissimo riki!!!,TRUST
Mi piace sta canzone l'ho ascoltata tante volte oggi. Bravo Rikiii,DELIGHT
Mi sentite piangere dall’emozione??,LOVE
Minchia che bello che sei ❤,LOVE
Nn hanno capito un cazzo dovevi arrivi primo sei mio amore,LOVE - ANGER
Non c'hanno capito un cazzo. Questa canzone meritava posti ben più alti dell'ultimo. Non t'hanno saputo apprezzare ,TRUST - OUTRAGE
Non capisco come cavolo ha fatto ad arrivare ultimo! Si meritava un posto più alto perchè questa è la canzone più bella che abbia mai ascoltato♥️♥️,LOVE - DISAPPOINTMENT
Non conoscevo questo ragazzo ma sono rimasta incantata dalla dolcezza del suo viso e da questa bellissima canzone... credo che nei suoi confronti siano stati troppo prevenuti lo hanno criticato anche per la scelta della cover (che trovo sia stata super) perché troppo giovane per quella canzone...la motivazione della sua scelta è stata molto tenera affettuosa...gli auguro il successo che merita,LOVE - SURPRISE
"Non dovevi essere cosi' emozionato, sei un professionista, hai lavorato gia' tanto! Devi essere piu' concentrato quando ti esibisci, il pezzo e' bellissimo, hai delle occasioni nella vita che molti altri cantanti (come me) sognano, non perderti dietro la fottuta emozione. Hai ancora tanta strada da fare sei un ottimo cantante e un bel ragazzo ti auguro il meglio. Ma devi concentrati e dare il meglio di te sul palco lo meriti e lo meritano quelli che ti seguono e amano la tua musica. Dai Riccardo!",LOVE
"Non meritavi di arrivari ultimo , Janacci doveva essere ultimo",TRUST - ANGER
"Non sarà stata una canzone da podio, ma secondo me l'ultimo posto non se lo meritava.",DISAPPOINTMENT
"Non smetto di ascoltare questa canzone ogni volta mi fa emozionare ❤️. Le persone non s'hanno apprezzarti soltanto i tuoi veri fan ti sanno apprezzare sul serio che sanno tutto il tuo percorso amore mio, bellissima canzone come te ❤️❤️❤️",LOVE
"Non sono un tuo fan,anzi, mi stavi anche un po' sulle palle. Questa canzone ha cambiato la situazione. Zalone way",TRUST - SURPRISE
"oggi, 9 febbraio 2020 notte, siamo stati ad ascoltare sanremo molto tempo per poi vedere classifiche fatte veramente da gente che di musica ne capisce veramente poco, vedere una persona come achille lauro che (niente contro di lui ) ma ha quella posizione solo per la sua personalità e il modo di presentarsi....Sanremo vergogna",SHAME
ogni parola del tuo testo mi ha fatto piangere spero che la tua canzone sia la migliore di sempre dai riki ce la puoi fare,TRUST - SENTIMENTALITY
"Parole stupende, è bellissima",TRUST
"Penso che il posto in classifica poco conti.. Sono sempre stata convinta che la cosa più importante sia quella di arrivare nel cuore e nella mente di chi ascolta una determinata canzone! E questa arriva,eccome! Già dal primo ascolto,quando finisce tutto,nella testa risuona il ritornello! Meraviglia!☺️",LOVE
"Per me é molto ingiusto che la canzone sia arrivata ultima a Sanremo, per me é la più bella di tutte!!",TRUST - DISAPPOINTMENT
Per me hai già vinto. Sei bello fuorimisura. Io fisso il vuoto che è a pezzi e tu Ti addormenti guardando la tivù....❤️❤️,LOVE
"Per me venderai tanto, sei bravo, sensibile e tanto tanto bello, tenero e prometti moltissimo, vedrai che vincerai! la voce e le tonalità sono bellissime, sei delicato e romantico. Abbi fiducia in te, vali moltissimo!",TRUST
Per noi hai vinto Sanremo. Solo per la tua umiltà.,LOVE
Però è bravo sto ragazzo ed è pure bella la canzone io lo metterei nei posti alti in classifica..spero passi alla radio lo merita,TRUST
però qualcosa non torna  Con che coraggio è stato messo ultimo?,DISAPPOINTMENT
Però qualcosa non torna che sia arrivato ultimo a sanremo,DISAPPOINTMENT
"Però qualcosa non torna... È straordinaria Riki... Sono sicura che verrà apprezzata dopo, come tante altre volte è capitato a Sanremo. Un bacio",TRUST - DISAPPOINTMENT
Poi Mi spiegate perché è ventitreesima,DISAPPOINTMENT
Portiamolo in alto,TRUST - ANTICIPATION
Potete dire ciò che volete ma a me piace questo ragazzo. Anche la sua dolce voce. Mi dà la sensazione di risentire il tempo dei Bekstreet Boys,DELIGHT
PRIMA DEL MILIONE DI VISUALIZZAZIONI?❤,LOVE
"Pura magia Come sempre capace di emozionare, fiera di te❤ Ieri sera la mano che tremava dimostrava a tutti quanto tu tenga alla tua musica, e con te mi sono emozionata anche io❤",LOVE - SENTIMENTALITY
Quando sei talmente bello che la gente è disposta a fissare la tua faccia per 3 minuti di fila,TRUST
Quanto è bella sta canzone lo ascoltate più di 10 volte amo questa canzone,TRUST
"Questa canzone è BELLISSIMA! Il testo è scritto con cura ed eleganza e la musica, che incalza alla fine da il senso della drammaticità di ciò che viene descritto sapientemente Cosa dire SUPER! Non capisco come si possano preferire pezzi del tipo Gabbani ecc.",TRUST - DISAPPOINTMENT
Questa canzone è qualcosa di veramente incredibile...,TRUST
Questa canzone già mi è entrata in testa è stupenda sei un grande,TRUST
"Questa canzone merita molto molto di più. Possono passare gli anni Riki ma resti sempre la stessa persona umile che si emoziona quando canta e vuole far emozionare gli altri❤️ la tua mano che trema e i tuoi occhi che cercano di rapire quante più persone possibili all’attenzione di quello che stai comunicando. Sei tornato riki e sei tornato alla grande❤️ potrai non vincere sanremo , potrai essere in basso alla classifica, ma quella classifica non significa niente. Tu hai già vinto. Sei arrivato sul palco di Sanremo e da qui sei riuscito ad entrare di nuovo nel cuore dei tuoi fan dimostrando di essere sempre lo stesso Riccardo di sempre ❤️",LOVE
Questa canzone mi suscita emozioni e la adoro,LOVE
"Questa canzone mi tocca nel profondo, in questo momento della mia vita. È davvero struggente e bellissima.....",SENTIMENTALITY
Questa é una canzone bellissima! Meritavi di essere tra i primi,TRUST - DISAPPOINTMENT
Questa merita proprio di vincere. È tra le migliori.... Sempre sul pezzo Riki,LOVE
Restiamo distanti restandoci accanto...da brividi se pensiamo a questi giorni bellissimo brano!,TRUST - SENTIMENTALITY
Riascoltare la canzone in loop all'infinito mi piace sempre di più ❤️,LOVE
Riki anche se sei arrivato ultimo a me non importa sei e sarai sempre il migliore ai fatto una canzone che dovevi essere primo complimenti continua così sei fortissimo,TRUST
RIKI HAI SPACCATO HO PIANTO TUTTO IL TEMPO SEI STATO IL MIGLIORE,TRUST - SENTIMENTALITY
San Remo è tuo...con noi sei al sicuro❤,LOVE
"Sbaglio o ieri sera l'effetto del vocoder era più forte?? Preferisco come qui nel video. Comunque ci tengo a fare un commento di complimenti perché, seppur non condividendo la tua strada artistica, mi hai sorpreso ieri sera. Mi aspettavo una mezza tamarrata e invece sono rimasto spiazzato. Agitazione visibilissima, brano ed esibizione che hanno spiazzato in maniera positiva. Bravo Riki!",TRUST - SURPRISE
"Scrivo solo per dire che non guardo Sanremo ne la televisione  in generale . Ho sentito questa canzone in radio pochi giorni fa e mi è rimasta talmente tanto in testa che sono venuto a cercare chi fosse il cantante e come si intitolasse questa canzone . Ho letto i commenti ed ho visto che questo cantante e questa canzone non hanno ricevuto i meriti dovuti a Sanremo .Spero che non si abbatta perchè la canzone è bellissima ed arriva dritta la cuore , questa è l'unica vera vittoria .",TRUST - DISAPPOINTMENT
Se questo testo lo avesse cantato Tiziano ferro stavamo gridando al miracolo,DISAPPOINTMENT
Secondo me doveva essere primo,TRUST - DISAPPOINTMENT
