,TESTO,EMOZIONI
123,Mi viene sempre voglia di cantarla e fantastica ti amo tantissimo elettra,LOVE - DELIGHT
124,"a me la sua voce piace, è sempre piaciuta: lineare e calda, mi rilassa, ma poi sono gusti. Vai Riki, sei nei cuori di tutti quelli che ti sostengono.❤️",LOVE - DELIGHT
125,A me questa canzone è piaciuta tantissimo.,DELIGHT
126,"A me, personalmente, questa canzone piace tantissimo! La mia preferita del festival❤️",LOVE - DELIGHT
127,A te la manina tremava e io piangevo.. ❤️,LOVE - SENTIMENTALITY
128,Adoro sei stupendo canzone favolosa grande riki che emozione vederti a sanremo ❤❤❤,LOVE
129,Alla faccia dell''essenziale. In pochi si possono permettere una cosa del genere e tu decisamente puoi.,LOVE
130,Almeno questa canzone aveva un senso non come altre,TRUST - DISGUST
131,Ascoltando questa canzone mi trasmetti tante emozioni Racconti esattamente la mia vita. Sei un grande!,TRUST
132,ATTENZIONE!!!!!!!!! causa dipendenza!!!!!,JOY
133,"Avrebbe potuto cantarla meglio, ma evidentemente era anche emozionato. Comunque, nonostante non sia il mio genere, la canzone è orecchiabile e rilassante. Voto: diesci",TRUST - SURPRISE
134,bella e profonda anche questa bravo riki,TRUST
135,"Bellissima canzone Molto profonda e intensa!!! Grande Riki, un ritorno col botto",TRUST
136,"Bellissima canzone, bellissimo testo..molto pulito senza offese,parolacce..sembra una canzone di altri tempi, veramente bravo",TRUST
137,"Bellissima canzone! Mi aspettavo un posto più alto nella classifica di Sanremo ma tu arrivando ultimo hai sempre dimostrato di avere talento, ed è per questo che ti dico: fai della tua vita un sogno e di un sogno una realtà! #iostoconriki sempre",TRUST - DISAPPOINTMENT
138,Bellissima canzone...era da primi posti,TRUST - DISAPPOINTMENT
139,"Bellissima, meravigliosa canzone",TRUST
140,"Bellissima,stupenda,meravigliosa......che dire?secondo me doveva essere prima in classifica....È inutile le più belle non vincono mai",TRUST - DISAPPOINTMENT
141,Bellissima!!! Come possa essere ultima! Mah...,TRUST - DISAPPOINTMENT
142,"bellissimo testo, pieno di tensione e di belle sinestesie. il ragazzo sa scrivere. complimenti.",TRUST
143,Bravissimo! Stupenda la canzone ♥️,TRUST
144,Bravo Riki complimenti una canzone stupenda.,TRUST
145,Bravo Riki! E un bel brano!!!,TRUST
146,Bravo Riki. Mi piace molto testo e musica.,TRUST - DELIGHT
147,CAPOLAVORO.... Ti meriti il mondo Ric davvero ❤️,LOVE
148,"Certamente non da ultima posizione, almeno da metà classifica, a me personalmente questa canzone è piaciuta molto, sicuramente è molto meglio di chi è andato su quel palco per fare show con travestimenti vari e basta.",DELIGHT
149,Che bella questa canzone proprio vera..,TRUST
150,"che meraviglia..parole che arrivano dritte al cuore. grazie riccardo per queste emozioni,meriti tutto!❤️",LOVE
151,Chi lo segue da amici lascia like,LOVE
152,"Cinque volte l’ho ascoltata e tutte e cinque le volte sei riuscito a farmi emozionare. Sei pura magia, è inutile anche dirlo perché lo si vedeva dall’emozione che provavi ieri sera, nel cantare, con le mani tremanti, la canzone che hai scritto tu stesso che hai scritto tu stesso da solo. Mi lasci senza parole, davvero. Sei magico e per me lo rimarrai sempre",TRUST
153,"Classifica della prima serata molto ingiusta a mio avviso.. testo originale, voce che a me personalmente è sempre piaciuta, e sopratutto brano scritto da Riccardo stesso.. metterlo al penultimo posto fa capire quanto questo festival sia costruito.. comunque spero che non venga eliminato e che vada tra i primi 5/6 anche se difficile.. grande Riccardo siamo con te",TRUST - DISAPPOINTMENT
154,"Classifica falsata. I miei preferiti sono stati Riki e Alberto, poi sul podio Elodie.",TRUST - DISAPPOINTMENT
155,Come cazzo ha fatto ad arrivare ultimaa?!?!? È stupenda sta canzone..,TRUST - OUTRAGE
156,Complimenti Riki stupenda canzone e bella musica mi hai emozionato tua fan amatissima,TRUST
157,Comunque io non vedo l'ora di ascoltare l'album!Sono certa che spacchera di brutto,TRUST - ANTICIPATION
158,Con te dal giorno zero e sempre più orgogliosa❤,LOVE
159,"Conoscevo Riki solo di nome e devo dire che non vedevo l'ora di sentirlo cantare a Sanremo. Sono rimasta piacevolmente stupita, una canzone stupenda e una voce non da meno, mi sono commossa ascoltando la canzone. Mi dispiace un po' per i pezzi particolarmente effettati perchè non mi fanno impazzire, ma aldilà di questo mi spiace un sacco vederlo in un posto così basso in classifica. Ma è anche vero che a vincere Sanremo non sono sempre stati i cantanti migliori o quelli che sono rimasti, pensate a Vasco Rossi. Il pubblico continuerà ad ascoltare le buone canzoni indifferentemente dalla posizione nella classifica finale, e questa è stata un'occasione ben sfruttata per farsi conoscere anche a gente come me che non lo aveva mai sentito in anticipo. Un abbraccio, spero con tutto il cuore che tu possa vincere e ti auguro il meglio per il tuo futuro ❤️",LOVE - DISAPPOINTMENT
160,Da qualche anno al festival funziona così se provieni da qualche amici o xfactor e sei belloccio lo inabissano non votandolo poiché sanno che sarà votatissimo da casa ma scusate toglietevi il cerume da quelle marce orecchie questo ragazzo è bravissimo...... pagliacci,TRUST - ANGER
161,Da quanto tempo che aspetto una tua canzone❤️❤️❤️,LOVE - ANTICIPATION
162,Davvero stupenda,LOVE
163,Deve vincere Sanremo questa canzone. La piu bella di tutte.,TRUST - DISAPPOINTMENT
164,Dire che questa canzone é infinitamente meravigliosa é poco,LOVE
165,"Dopo “Perdo le parole” penso che questa canzone la sentiremo presto nelle piste da ballo, perché con un adeguato remix ha un ritmo bachatero",TRUST
166,Doveva essere nei primi posti. Bellissima,TRUST - DISAPPOINTMENT
167,Doveva vincere!!!!!!!!!assurdo..,ANGER - DISAPPOINTMENT
168,"È bellissima, che voce spettacolare❤️❤️",LOVE
169,"È bellissima, grande Riki",TRUST
170,"E comunque ancora non capisco come questo pezzo stia cosi in basso in classifica, merita molto di piu, soprattutto rispetto a molti che stanno in alto. Io piu ascolto questa canzone e piu me ne innamoro",LOVE - DISAPPOINTMENT
171,E con questa ti sei superato! Bravissimo tu e bellissima la canzone ❤❤,LOVE
172,È così bella che questa canzone,TRUST
173,"È dura, te la vedi con la pavone per l’ultima posizione ma tifiamo te",TRUST
174,È molto bellissima ed orecchiabile!! complimenti!,TRUST
175,E perdo le parole...❤ riccá non deludi mai tu ti amo,LOVE
176,È stupenda. Iniziamo con queste classifiche ridicole. Già sto pensando ad Ultimo che ha sempre avuto ragione. Forza Riki da sempre con te. Sei migliorato tantissimo con la voce,LOVE - DISAPPOINTMENT
177,E una vergogna che sia arrivata ultima a Sanremo.,SHAME
178,E una vergogna che sia arrivato ultimo a sanremo si vede che chi ha votato e scemo e non capisce niente,SHAME
179,Eccezionale ❤️,LOVE
180,Emozione❤,LOVE
181,"Esatto, sì, oltre alla bellezza della canzone, la cosa più dolce è che gli tremavano le mani.",TRUST
182,"Fantastica canzone, testo emozionante. Complimenti!! Sei un vero talento",LOVE
183,Fantastica canzone. Saluti dalla Germania.❤,LOVE
184,Fantastica la canzone lui semplicemente perfetto,LOVE
185,Fiera di averti scelto dal giorno 0,LOVE
186,"Finora ho sempre considerato questo ragazzo come il classico ""bel faccino"", diventato famoso principalmente per questo, con una bella voce ma senza grandiose doti canore, e senza un particolare talento (..detto proprio sinceramente XD) ..Invece, ho ascoltato questa canzone alla prima serata di Sanremo, ... e me ne sono innamorata subito. Mi hai sorpresa. E mi sono ricreduta. Mi dispiace un sacco che sia arrivato ultimo... questa canzone è splendida. E' stata sottovalutata tantissimo.. meritava molto di più. Ma si sa che i vincitori di Sanremo non sono mai quelli che lo hanno vinto.. :) Complimenti. Hai una fan in più! O quasi, ahah.. :)",LOVE - SURPRISE
187,Frizzante come una Coca light scaduta,DISGUST
188,"Grande ragazzo, grande cuore, grande passione in quello che fa e in quello che trasmette.. Tra lui e Fasma non saprei chi scegliere, due grandi proposte!",TRUST
189,"hai spaccato amore mio, indipendentemente dalla classifica, ti amiamo. ❤️",LOVE
190,Hai spaccato di brutto grande. Bellissima canzone emozionante.,TRUST
191,Ho i brividi è la centesima volta che la ascolto è la mia preferita,TRUST - SENTIMENTALITY
192,"Ho i brividi... é stupenda La tua musica é sempre una certezza! grazie Ric, siamo sempre con te",TRUST - SENTIMENTALITY
193,Ho solo da dire questo: Gli ultimi saranno i primi. Questo ragazzo ha ricevuto un trattamento ingiusto. Aveva una canzone bellissima scritta da lui e molto bella anche da ascoltare. Meritava molto di più.,TRUST - DISAPPOINTMENT
194,Ho visto la canzone perdo le parole dopo tipo 2 anni e ho visto che sei cambiato troppo,SURPRISE
195,Infatti tu meritavi! Qualcosa non torna SI!,TRUST - DISAPPOINTMENT
196,Innamorata di questa canzone e della tua voce,LOVE
197,Io non capisco come faccia ad essere fra le ultime questa canzone.,DISAPPOINTMENT
198,"L' avevo pronosticato vincitore ed è arrivato ultimo, quindi per me ha vinto! Bravissimo Riki.",TRUST - SURPRISE
199,"L'ho scoperto 3 anni fa grazie a mia figlia Karen, che è una fan sfegatata, e devo dire che mi piace da morire, ha una voce veramente melodica, le sue parole sono poesia, in una scala da 1 a 10,è al 3°posto tra i miei cantanti preferiti,ed io sono della generazione ""figli dei fiori"" ovvero:I mitici anni 60/70.",TRUST
200,L'unico bravo che esce da Amici.,TRUST
201,L’unico difetto di sta canzone è che finisce,LOVE
202,La canzone migliore del festival,TRUST
203,La classifica di Sanremo? “Però qualcosa non torna...” #iostoconRiki,TRUST - DISAPPOINTMENT
204,La migliore canzone del festival,LOVE
205,"La semplicita ripaga sempre, fidatevi",LOVE
206,Le mani che tremavano… come quando ti esibivi ad Amici❤️ I brividi…,LOVE
207,"Le mani ti tremavano, anche le mie hanno iniziato a farlo con le tue Sei speciale, quel sorriso che avevi sul volto, il sorriso di chi torna a fare quello che ama davvero",TRUST
208,Like a chi adora riki,LOVE
209,Like a chi piace Riki,DELIGHT
210,Like chi adora Riki ❤,LOVE
211,"Ma che bella questa canzone, bella interpretazione e bello anche il video.",TRUST
212,"ma che meraviglia................ mia figlia di 10 anni senza ascoltarla ha detto:"" sarà bellissima!!!!!"" ha ragione!!!",TRUST
213,Ma guarda un po’!! Non doveva vincere quel diocazzo!!! Per me sei primo!!,TRUST - ANGER
214,Ma io muoioo è bellissima!,TRUST
215,Ma quanto é bella questa canzone ❤ la sto adorando,LOVE
216,Ma quanto mi piace questa canzone??? Adorabile. Non capisco come può essere arrivata ultima.,TRUST - DISAPPOINTMENT
217,"ma stiamo scherzando ??? un brano del genere si merita la vittoria a sanremo ,una bellissima canzone deluso dal festival.",TRUST - DISAPPOINTMENT
218,"Mamma mia quanto sei bello ma sei vero??? Ahahha complimenti che voce, bellissima canzone",TRUST - SURPRISE
219,Manager: ok quanto vogliamo spendere per il video? Riki: No,DISGUST
220,"Meravigliosa, un'emozione unica ascoltarla ieri sera, la tua manina che tremava diceva tutto",LOVE
221,"Meritava parecchie posizioni in più a sanremo!! La canzone non riesco a togliermela dalla testa, ha fatto davvero un gran lavoro!!!",TRUST - DISAPPOINTMENT
222,Mettete like e commentate se pensate che la canzone è bellissima e se canta benissimo riki!!!,TRUST
223,Mi piace sta canzone l'ho ascoltata tante volte oggi. Bravo Rikiii,DELIGHT
224,Mi sentite piangere dall’emozione??,LOVE
225,Minchia che bello che sei ❤,LOVE
226,Nn hanno capito un cazzo dovevi arrivi primo sei mio amore,LOVE - ANGER
227,Non c'hanno capito un cazzo. Questa canzone meritava posti ben più alti dell'ultimo. Non t'hanno saputo apprezzare ,TRUST - OUTRAGE
228,Non capisco come cavolo ha fatto ad arrivare ultimo! Si meritava un posto più alto perchè questa è la canzone più bella che abbia mai ascoltato♥️♥️,LOVE - DISAPPOINTMENT
229,Non conoscevo questo ragazzo ma sono rimasta incantata dalla dolcezza del suo viso e da questa bellissima canzone... credo che nei suoi confronti siano stati troppo prevenuti lo hanno criticato anche per la scelta della cover (che trovo sia stata super) perché troppo giovane per quella canzone...la motivazione della sua scelta è stata molto tenera affettuosa...gli auguro il successo che merita,LOVE - SURPRISE
230,"Non dovevi essere cosi' emozionato, sei un professionista, hai lavorato gia' tanto! Devi essere piu' concentrato quando ti esibisci, il pezzo e' bellissimo, hai delle occasioni nella vita che molti altri cantanti (come me) sognano, non perderti dietro la fottuta emozione. Hai ancora tanta strada da fare sei un ottimo cantante e un bel ragazzo ti auguro il meglio. Ma devi concentrati e dare il meglio di te sul palco lo meriti e lo meritano quelli che ti seguono e amano la tua musica. Dai Riccardo!",LOVE
231,"Non meritavi di arrivari ultimo , Janacci doveva essere ultimo",TRUST - ANGER
232,"Non sarà stata una canzone da podio, ma secondo me l'ultimo posto non se lo meritava.",DISAPPOINTMENT
233,"Non smetto di ascoltare questa canzone ogni volta mi fa emozionare ❤️. Le persone non s'hanno apprezzarti soltanto i tuoi veri fan ti sanno apprezzare sul serio che sanno tutto il tuo percorso amore mio, bellissima canzone come te ❤️❤️❤️",LOVE
234,"Non sono un tuo fan,anzi, mi stavi anche un po' sulle palle. Questa canzone ha cambiato la situazione. Zalone way",TRUST - SURPRISE
235,"oggi, 9 febbraio 2020 notte, siamo stati ad ascoltare sanremo molto tempo per poi vedere classifiche fatte veramente da gente che di musica ne capisce veramente poco, vedere una persona come achille lauro che (niente contro di lui ) ma ha quella posizione solo per la sua personalità e il modo di presentarsi....Sanremo vergogna",SHAME
236,ogni parola del tuo testo mi ha fatto piangere spero che la tua canzone sia la migliore di sempre dai riki ce la puoi fare,TRUST - SENTIMENTALITY
237,"Parole stupende, è bellissima",TRUST
238,"Penso che il posto in classifica poco conti.. Sono sempre stata convinta che la cosa più importante sia quella di arrivare nel cuore e nella mente di chi ascolta una determinata canzone! E questa arriva,eccome! Già dal primo ascolto,quando finisce tutto,nella testa risuona il ritornello! Meraviglia!☺️",LOVE
239,"Per me é molto ingiusto che la canzone sia arrivata ultima a Sanremo, per me é la più bella di tutte!!",TRUST - DISAPPOINTMENT
240,Per me hai già vinto. Sei bello fuorimisura. Io fisso il vuoto che è a pezzi e tu Ti addormenti guardando la tivù....❤️❤️,LOVE
241,"Per me venderai tanto, sei bravo, sensibile e tanto tanto bello, tenero e prometti moltissimo, vedrai che vincerai! la voce e le tonalità sono bellissime, sei delicato e romantico. Abbi fiducia in te, vali moltissimo!",TRUST
242,Per noi hai vinto Sanremo. Solo per la tua umiltà.,LOVE
243,Però è bravo sto ragazzo ed è pure bella la canzone io lo metterei nei posti alti in classifica..spero passi alla radio lo merita,TRUST
244,però qualcosa non torna  Con che coraggio è stato messo ultimo?,DISAPPOINTMENT
245,Però qualcosa non torna che sia arrivato ultimo a sanremo,DISAPPOINTMENT
246,"Però qualcosa non torna... È straordinaria Riki... Sono sicura che verrà apprezzata dopo, come tante altre volte è capitato a Sanremo. Un bacio",TRUST - DISAPPOINTMENT
247,Poi Mi spiegate perché è ventitreesima,DISAPPOINTMENT
248,Portiamolo in alto,TRUST - ANTICIPATION
249,Potete dire ciò che volete ma a me piace questo ragazzo. Anche la sua dolce voce. Mi dà la sensazione di risentire il tempo dei Bekstreet Boys,DELIGHT
250,PRIMA DEL MILIONE DI VISUALIZZAZIONI?❤,LOVE
251,"Pura magia Come sempre capace di emozionare, fiera di te❤ Ieri sera la mano che tremava dimostrava a tutti quanto tu tenga alla tua musica, e con te mi sono emozionata anche io❤",LOVE - SENTIMENTALITY
252,Quando sei talmente bello che la gente è disposta a fissare la tua faccia per 3 minuti di fila,TRUST
253,Quanto è bella sta canzone lo ascoltate più di 10 volte amo questa canzone,TRUST
254,"Questa canzone è BELLISSIMA! Il testo è scritto con cura ed eleganza e la musica, che incalza alla fine da il senso della drammaticità di ciò che viene descritto sapientemente Cosa dire SUPER! Non capisco come si possano preferire pezzi del tipo Gabbani ecc.",TRUST - DISAPPOINTMENT
255,Questa canzone è qualcosa di veramente incredibile...,TRUST
256,Questa canzone già mi è entrata in testa è stupenda sei un grande,TRUST
257,"Questa canzone merita molto molto di più. Possono passare gli anni Riki ma resti sempre la stessa persona umile che si emoziona quando canta e vuole far emozionare gli altri❤️ la tua mano che trema e i tuoi occhi che cercano di rapire quante più persone possibili all’attenzione di quello che stai comunicando. Sei tornato riki e sei tornato alla grande❤️ potrai non vincere sanremo , potrai essere in basso alla classifica, ma quella classifica non significa niente. Tu hai già vinto. Sei arrivato sul palco di Sanremo e da qui sei riuscito ad entrare di nuovo nel cuore dei tuoi fan dimostrando di essere sempre lo stesso Riccardo di sempre ❤️",LOVE
258,Questa canzone mi suscita emozioni e la adoro,LOVE
259,"Questa canzone mi tocca nel profondo, in questo momento della mia vita. È davvero struggente e bellissima.....",SENTIMENTALITY
260,Questa é una canzone bellissima! Meritavi di essere tra i primi,TRUST - DISAPPOINTMENT
261,Questa merita proprio di vincere. È tra le migliori.... Sempre sul pezzo Riki,LOVE
262,Restiamo distanti restandoci accanto...da brividi se pensiamo a questi giorni bellissimo brano!,TRUST - SENTIMENTALITY
263,Riascoltare la canzone in loop all'infinito mi piace sempre di più ❤️,LOVE
264,Riki anche se sei arrivato ultimo a me non importa sei e sarai sempre il migliore ai fatto una canzone che dovevi essere primo complimenti continua così sei fortissimo,TRUST
